brand_id;product_id;brand;product_name;format;serving_size_g;serving_count;volume_g;price_usd;discount_pct;serving_price;key_ingredient;channel;url;date_collected;purchase_type
1;120;BodyBrain Coffee;BodyBrain Coffee 2 Pack;packet;;60;283.5;79.98;11;1.333;ashwagandha;own_site;https://bodybraincoffee.com/products/bodybrain-coffee-strength-focus-in-every-sip-copy;23.05.2026;single
1;121;BodyBrain Coffee;BodyBrain Creamer — Vitality Blend (30 Sachets);packet;;30;428.1;49.99;0;1.6663;cordyceps;own_site;https://bodybraincoffee.com/products/bodybrain-creamer-vitality-blend-30-sachets;23.05.2026;single
3;123;Everyday Dose;30 Servings of Coffee+ Medium Roast + FREE Starter Kit + FREE A2 Probiotic Creamer;bundle;7.3;30;219;65;0;2.17;collagen;own_site;https://everydaydose.com/products/30-servings-of-coffee-medium-roast-free-starter-kit-free-a2-probiotic-creamer;25.05.2026;single
3;123;Everyday Dose;30 Servings of Coffee+ Medium Roast + FREE Starter Kit + FREE A2 Probiotic Creamer;bundle;7.3;30;219;57.85;11;1.93;collagen;own_site;https://everydaydose.com/products/30-servings-of-coffee-medium-roast-free-starter-kit-free-a2-probiotic-creamer;25.05.2026;subscription
3;124;Everyday Dose;60 Servings of Coffee+ Medium Roast + FREE Starter Kit;bundle;7.3;60;438;100;0;1.67;;own_site;https://everydaydose.com/products/60-servings-of-bold-coffee-free-starter-kit-special-price;25.05.2026;single
3;124;Everyday Dose;60 Servings of Coffee+ Medium Roast + FREE Starter Kit;bundle;7.3;60;438;89;11;1.48;;own_site;https://everydaydose.com/products/60-servings-of-bold-coffee-free-starter-kit-special-price;25.05.2026;subscription
3;125;Everyday Dose;90 Servings of Coffee+ Medium Roast + FREE Starter Kit;bundle;7.3;90;657;155;0;1.72;collagen;own_site;https://everydaydose.com/products/90-servings-of-bold-coffee-free-starter-kit;25.05.2026;single
3;125;Everyday Dose;90 Servings of Coffee+ Medium Roast + FREE Starter Kit;bundle;7.3;90;657;137.95;11;1.53;collagen;own_site;https://everydaydose.com/products/90-servings-of-bold-coffee-free-starter-kit;25.05.2026;subscription
5;129;HabitONE;FULL RESET BUNDLE;bundle;;90;;78;62;0.8667;;own_site;;20.05.2026;single
5;130;HabitONE;PROTEIN Coffee;instant;;15;300;25;61;1.67;;own_site;https://habitone.co/products/protein-coffee?variant=48119475470591;20.05.2026;subscription
